,Date Posted,Address,Area,Price,Number of Bedrooms,Number of Toilets,Category,City,Price Level,Number of Rooms,Furniture,District,Price Range
0,15/10/2024,"Sunrise City, 23,25,27,33, Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Hồ Chí Minh",80.0,,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,-1,2.0,Unspecified,Quận 7,Thỏa thuận
1,15/10/2024,"131-133, Đường Đặng Tiến Đông, Phường Trung Liệt, Đống Đa, Hà Nội",220.0,50000000.0,,18.0,Văn phòng,Hà Nội,6,1.0,Basic,Đống đa,40 - 70 triệu
2,10/10/2024,"Dự án Opal Skyline, Đường Nguyễn Văn Tiết, Phường Lái Thiêu, Thuận An, Bình Dương",65.0,4000000.0,2.0,2.0,Căn hộ chung cư,Bình Dương,3,2.0,Fully Furnished,Thuận an,3 - 5 triệu
3,15/10/2024,"Dự án Opal Skyline, Đường Nguyễn Văn Tiết, Phường Lái Thiêu, Thuận An, Bình Dương",66.0,4000000.0,2.0,2.0,Căn hộ chung cư,Bình Dương,3,2.0,Fully Furnished,Thuận an,3 - 5 triệu
4,06/10/2024,"Dự án Vinhomes Ocean Park Gia Lâm, Đường Ngọc Trai 2-86, Xã Dương Xá, Gia Lâm, Hà Nội",55.0,5000000.0,2.0,1.0,Căn hộ chung cư,Hà Nội,4,2.0,Unfurnished,Gia lâm,5 - 10 triệu
5,13/10/2024,"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",68.0,12000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,2.0,Fully Furnished,Quận 7,10 - 40 triệu
6,09/10/2024,"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",68.0,9000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,4,2.0,Unspecified,Quận 7,5 - 10 triệu
7,13/10/2024,"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",53.0,7000000.0,1.0,1.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,4,1.0,Unspecified,Quận 7,5 - 10 triệu
8,09/10/2024,"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",68.0,9000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,4,2.0,Fully Furnished,Quận 7,5 - 10 triệu
9,15/10/2024,"Vinhomes Ocean Park Gia Lâm, Lý Thánh Tông, Dương Xá, Gia Lâm, Hà Nội",28.0,7000000.0,1.0,1.0,Căn hộ chung cư,Hà Nội,4,1.0,Fully Furnished,Gia lâm,5 - 10 triệu
10,15/10/2024,"Charmvit Tower, Trần Duy Hưng, Trung Hòa, Cầu Giấy, Hà Nội",108.0,,,,Văn phòng,Hà Nội,-1,1.0,Unspecified,Cầu giấy,Thỏa thuận
11,14/10/2024,"Dự án Eco Green Sài Gòn, Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",70.0,13000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,2.0,Fully Furnished,Quận 7,10 - 40 triệu
12,15/10/2024,"Q7 Saigon Riverside, Số 4, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",67.0,9000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,4,2.0,Basic,Quận 7,5 - 10 triệu
13,14/10/2024,"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",67.0,8000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,4,2.0,Basic,Quận 7,5 - 10 triệu
14,14/10/2024,"Dự án N02-T3 Ngoại Giao Đoàn, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",112.0,16000000.0,3.0,2.0,Căn hộ chung cư,Hà Nội,5,3.0,Fully Furnished,Bắc từ liêm,10 - 40 triệu
15,12/10/2024,"Dự án Sunrise City, Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Hồ Chí Minh",147.0,30000000.0,3.0,,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,3.0,Unspecified,Quận 7,10 - 40 triệu
16,10/10/2024,"Masteri Thảo Điền, Số 159, Đường Võ Nguyên Giáp, Phường Thảo Điền, Quận 2, Hồ Chí Minh",75.0,15000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,2.0,Fully Furnished,Quận 2,10 - 40 triệu
17,09/10/2024,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",70.0,15000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,2.0,Unspecified,Quận 2,10 - 40 triệu
18,14/10/2024,"Đường Tân Thuận, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",14.5,,,,Văn phòng,Thành phố Hồ Chí Minh,-1,1.0,Unspecified,Quận 7,Thỏa thuận
19,10/10/2024,"Eco Green Sài Gòn, 107, Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",65.0,11000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,2.0,Fully Furnished,Quận 7,10 - 40 triệu
20,14/10/2024,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh.",78.0,22000000.0,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,5,2.0,Fully Furnished,Quận 1,10 - 40 triệu
21,06/10/2024,"Dự án Sunrise City, Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Hồ Chí Minh",99.0,,2.0,2.0,Căn hộ chung cư,Thành phố Hồ Chí Minh,-1,2.0,Fully Furnished,Quận 7,Thỏa thuận
22,14/10/2024,"Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",80.0,14000000.0,2.0,2.0,Căn hộ chung cư,Hà Nội,5,2.0,Fully Furnished,Hai bà trưng,10 - 40 triệu
